student,professor,score,matched_role,student_role
Jason Duncan MD,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Richard Cantu,Kimberly Friedman,0.2,"['TA', 'Grader']",Grader
Richard Cantu,Chelsea Wallace,0.2,"['Grader', 'TA']",Grader
Roger Johnson,Christopher Lee DVM,0.2,"['TA', 'RA']",TA
Roger Johnson,Nicole Payne,0.2,['TA'],TA
Roger Johnson,Kimberly Friedman,0.2,"['TA', 'Grader']",TA
Roger Johnson,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Anna Scott,Christopher Lee DVM,0.2,"['TA', 'RA']",TA
Anna Scott,Nicole Payne,0.2,['TA'],TA
Anna Scott,Ashley Washington,0.2,['TA'],TA
Anna Scott,Kimberly Friedman,0.2,"['TA', 'Grader']",TA
Anna Scott,Jessica Wood,0.2,"['TA', 'Grader']",TA
Angel Thornton DVM,Steven Parker,0.2,"['Grader', 'TA']",Grader
Natasha Keller,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Natasha Keller,Steven Parker,0.2,"['Grader', 'TA']",TA
Jennifer Lambert,Michael Matthews,0.2,['Grader'],Grader
Jennifer Lambert,Chelsea Wallace,0.2,"['Grader', 'TA']",Grader
Jennifer Lambert,Beth Taylor,0.2,"['RA', 'Grader']",Grader
Jennifer Lambert,Steven Parker,0.2,"['Grader', 'TA']",Grader
Jennifer Berry,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Christopher Mcdonald,Nicole Payne,0.2,['TA'],TA
Christopher Mcdonald,Ashley Washington,0.2,['TA'],TA
Christopher Mcdonald,Jessica Wood,0.2,"['TA', 'Grader']",TA
Stephanie Jones,Christopher Lee DVM,0.2,"['TA', 'RA']",TA
Nicole Lewis,Jessica Wood,0.2,"['TA', 'Grader']",TA
Stephanie Jones,Kimberly Friedman,0.2,"['TA', 'Grader']",TA
Stephanie Jones,Jessica Wood,0.2,"['TA', 'Grader']",TA
Stephanie Jones,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Stephanie Jones,Steven Parker,0.2,"['Grader', 'TA']",TA
Elizabeth Burns,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Christopher Mcdonald,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Christopher Mcdonald,Steven Parker,0.2,"['Grader', 'TA']",TA
Christopher Mcdonald,Christopher Smith,0.2,"['RA', 'TA']",TA
Jennifer Berry,Beth Taylor,0.2,"['RA', 'Grader']",RA
April George,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Colleen Thomas PhD,Christopher Smith,0.2,"['RA', 'TA']",RA
Stephanie Jones,Nicole Payne,0.2,['TA'],TA
Brett Williams,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Pamela Baxter,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Joshua Clark,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Brett Williams,Beth Taylor,0.2,"['RA', 'Grader']",RA
Brett Williams,Christopher Smith,0.2,"['RA', 'TA']",RA
Barry Mitchell,Christopher Lee DVM,0.2,"['TA', 'RA']",TA
Barry Mitchell,Nicole Payne,0.2,['TA'],TA
Jorge Vasquez,Chelsea Wallace,0.2,"['Grader', 'TA']",Grader
Jorge Vasquez,Steven Parker,0.2,"['Grader', 'TA']",Grader
Penny Walsh,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Penny Walsh,Beth Taylor,0.2,"['RA', 'Grader']",RA
David Anderson,Beth Taylor,0.2,"['RA', 'Grader']",RA
Scott James,Beth Taylor,0.2,"['RA', 'Grader']",RA
Scott James,Christopher Smith,0.2,"['RA', 'TA']",RA
Patrick Freeman,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Penny Walsh,Christopher Smith,0.2,"['RA', 'TA']",RA
Carlos Morales,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Carlos Morales,Beth Taylor,0.2,"['RA', 'Grader']",RA
Carlos Morales,Christopher Smith,0.2,"['RA', 'TA']",RA
Robin Landry,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Robin Landry,Beth Taylor,0.2,"['RA', 'Grader']",RA
Robin Landry,Christopher Smith,0.2,"['RA', 'TA']",RA
David Anderson,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Scott James,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Chad Arroyo,Steven Parker,0.2,"['Grader', 'TA']",Grader
Brooke Case,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Tara Ayers,Jessica Wood,0.2,"['TA', 'Grader']",TA
Tara Ayers,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Elizabeth Burns,Beth Taylor,0.2,"['RA', 'Grader']",RA
Elizabeth Burns,Christopher Smith,0.2,"['RA', 'TA']",RA
Samantha Gonzales,Christopher Lee DVM,0.2,"['TA', 'RA']",TA
Samantha Gonzales,Nicole Payne,0.2,['TA'],TA
Samantha Gonzales,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Kristen Clay,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Kristen Clay,Beth Taylor,0.2,"['RA', 'Grader']",RA
Dylan Castillo,Chelsea Wallace,0.2,"['Grader', 'TA']",Grader
Christopher Mcdonald,Christopher Lee DVM,0.2,"['TA', 'RA']",TA
Jamie Hoffman,Steven Parker,0.2,"['Grader', 'TA']",TA
Jamie Hoffman,Christopher Smith,0.2,"['RA', 'TA']",TA
Martha Cooper,Michael Matthews,0.2,['Grader'],Grader
Martha Cooper,Kimberly Friedman,0.2,"['TA', 'Grader']",Grader
Martha Cooper,Jessica Wood,0.2,"['TA', 'Grader']",Grader
Martha Cooper,Chelsea Wallace,0.2,"['Grader', 'TA']",Grader
Martha Cooper,Steven Parker,0.2,"['Grader', 'TA']",Grader
Joseph Harmon,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Joseph Bush,Christopher Smith,0.2,"['RA', 'TA']",TA
Joseph Harmon,Christopher Smith,0.2,"['RA', 'TA']",RA
Kristen Clay,Christopher Smith,0.2,"['RA', 'TA']",RA
Natasha Keller,Christopher Lee DVM,0.2,"['TA', 'RA']",TA
Natasha Keller,Nicole Payne,0.2,['TA'],TA
Natasha Keller,Ashley Washington,0.2,['TA'],TA
April George,Beth Taylor,0.2,"['RA', 'Grader']",RA
Michael Orozco,Michael Matthews,0.2,['Grader'],Grader
Michael Orozco,Kimberly Friedman,0.2,"['TA', 'Grader']",Grader
Michael Orozco,Chelsea Wallace,0.2,"['Grader', 'TA']",Grader
Michael Orozco,Beth Taylor,0.2,"['RA', 'Grader']",Grader
Michael Orozco,Steven Parker,0.2,"['Grader', 'TA']",Grader
Brooke Case,Beth Taylor,0.2,"['RA', 'Grader']",RA
Brooke Case,Christopher Smith,0.2,"['RA', 'TA']",RA
Chad Arroyo,Chelsea Wallace,0.2,"['Grader', 'TA']",Grader
Colleen Thomas PhD,Beth Taylor,0.2,"['RA', 'Grader']",RA
Deanna Nielsen,Michael Matthews,0.2,['Grader'],Grader
Deanna Nielsen,Chelsea Wallace,0.2,"['Grader', 'TA']",Grader
Deanna Nielsen,Beth Taylor,0.2,"['RA', 'Grader']",Grader
Deanna Nielsen,Steven Parker,0.2,"['Grader', 'TA']",Grader
Jamie Hoffman,Christopher Lee DVM,0.2,"['TA', 'RA']",TA
Jamie Hoffman,Nicole Payne,0.2,['TA'],TA
Jamie Hoffman,Ashley Washington,0.2,['TA'],TA
Jamie Hoffman,Jessica Wood,0.2,"['TA', 'Grader']",TA
Jamie Hoffman,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Sandra Gomez MD,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Chad Arroyo,Michael Matthews,0.2,['Grader'],Grader
Colleen Thomas PhD,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Cody Klein,Christopher Smith,0.2,"['RA', 'TA']",TA
Crystal Cooper,Christopher Lee DVM,0.2,"['TA', 'RA']",TA
Crystal Cooper,Nicole Payne,0.2,['TA'],TA
Jacqueline Sullivan,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Martin Valencia,Christopher Lee DVM,0.2,"['TA', 'RA']",TA
Martin Valencia,Nicole Payne,0.2,['TA'],TA
Jason Melton,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Jason Melton,Beth Taylor,0.2,"['RA', 'Grader']",RA
Jason Melton,Christopher Smith,0.2,"['RA', 'TA']",RA
Wayne Carrillo,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Ashley Robles,Beth Taylor,0.2,"['RA', 'Grader']",RA
Kimberly Sanchez,Christopher Smith,0.2,"['RA', 'TA']",RA
Erin Sloan,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Erin Sloan,Beth Taylor,0.2,"['RA', 'Grader']",RA
Wayne Carrillo,Beth Taylor,0.2,"['RA', 'Grader']",RA
Wayne Carrillo,Christopher Smith,0.2,"['RA', 'TA']",RA
Megan Ramirez,Michael Matthews,0.2,['Grader'],Grader
Megan Ramirez,Kimberly Friedman,0.2,"['TA', 'Grader']",Grader
Megan Ramirez,Jessica Wood,0.2,"['TA', 'Grader']",Grader
Megan Ramirez,Chelsea Wallace,0.2,"['Grader', 'TA']",Grader
Megan Ramirez,Steven Parker,0.2,"['Grader', 'TA']",Grader
Martin Valencia,Kimberly Friedman,0.2,"['TA', 'Grader']",TA
Martin Valencia,Jessica Wood,0.2,"['TA', 'Grader']",TA
Ashley Robles,Christopher Smith,0.2,"['RA', 'TA']",RA
Nicole Lewis,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Nicole Davis,Beth Taylor,0.2,"['RA', 'Grader']",RA
Nicole Davis,Christopher Smith,0.2,"['RA', 'TA']",RA
Matthew Mckinney,Christopher Lee DVM,0.2,"['TA', 'RA']",TA
Matthew Mckinney,Nicole Payne,0.2,['TA'],TA
Matthew Mckinney,Ashley Washington,0.2,['TA'],TA
Matthew Mckinney,Kimberly Friedman,0.2,"['TA', 'Grader']",TA
Matthew Mckinney,Jessica Wood,0.2,"['TA', 'Grader']",TA
Matthew Mckinney,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Martin Valencia,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Martin Valencia,Steven Parker,0.2,"['Grader', 'TA']",TA
Cody Klein,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Gregory Roach,Jessica Wood,0.2,"['TA', 'Grader']",Grader
Gregory Roach,Chelsea Wallace,0.2,"['Grader', 'TA']",Grader
Gregory Roach,Beth Taylor,0.2,"['RA', 'Grader']",Grader
Gregory Roach,Steven Parker,0.2,"['Grader', 'TA']",Grader
Nicole Davis,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Nicole Lewis,Steven Parker,0.2,"['Grader', 'TA']",TA
Nicole Lewis,Christopher Smith,0.2,"['RA', 'TA']",TA
Cody Klein,Christopher Lee DVM,0.2,"['TA', 'RA']",TA
Cody Klein,Nicole Payne,0.2,['TA'],TA
Cody Klein,Ashley Washington,0.2,['TA'],TA
Cody Klein,Kimberly Friedman,0.2,"['TA', 'Grader']",TA
Cody Klein,Jessica Wood,0.2,"['TA', 'Grader']",TA
Gregory Roach,Kimberly Friedman,0.2,"['TA', 'Grader']",Grader
Barry Mitchell,Christopher Smith,0.2,"['RA', 'TA']",TA
Rebecca Peterson,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Kristine Fox,Kimberly Friedman,0.2,"['TA', 'Grader']",Grader
Kristine Fox,Jessica Wood,0.2,"['TA', 'Grader']",Grader
Kristine Fox,Chelsea Wallace,0.2,"['Grader', 'TA']",Grader
Kristine Fox,Beth Taylor,0.2,"['RA', 'Grader']",Grader
Paul Rogers,Chelsea Wallace,0.2,"['Grader', 'TA']",Grader
Rebecca Peterson,Beth Taylor,0.2,"['RA', 'Grader']",RA
Rebecca Peterson,Christopher Smith,0.2,"['RA', 'TA']",RA
Lisa Davis,Michael Matthews,0.2,['Grader'],Grader
Lisa Davis,Jessica Wood,0.2,"['TA', 'Grader']",Grader
Peggy Chavez,Kimberly Friedman,0.2,"['TA', 'Grader']",Grader
Lisa Davis,Steven Parker,0.2,"['Grader', 'TA']",Grader
Michael Martinez,Christopher Lee DVM,0.2,"['TA', 'RA']",TA
Michael Martinez,Nicole Payne,0.2,['TA'],TA
Michael Martinez,Ashley Washington,0.2,['TA'],TA
Michael Martinez,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Michael Martinez,Steven Parker,0.2,"['Grader', 'TA']",TA
Michael Martinez,Christopher Smith,0.2,"['RA', 'TA']",TA
Jorge Vasquez,Michael Matthews,0.2,['Grader'],Grader
Jorge Vasquez,Kimberly Friedman,0.2,"['TA', 'Grader']",Grader
Kimberly Sanchez,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Kimberly Sanchez,Beth Taylor,0.2,"['RA', 'Grader']",RA
Lisa Davis,Chelsea Wallace,0.2,"['Grader', 'TA']",Grader
Peggy Chavez,Chelsea Wallace,0.2,"['Grader', 'TA']",Grader
Peggy Chavez,Beth Taylor,0.2,"['RA', 'Grader']",Grader
Bonnie Edwards,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Crystal Cooper,Kimberly Friedman,0.2,"['TA', 'Grader']",TA
Crystal Cooper,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Crystal Cooper,Christopher Smith,0.2,"['RA', 'TA']",TA
Luke Hickman,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Luke Hickman,Beth Taylor,0.2,"['RA', 'Grader']",RA
Paul Rogers,Steven Parker,0.2,"['Grader', 'TA']",Grader
Steven Patel,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Mark Prince,Christopher Lee DVM,0.2,"['TA', 'RA']",TA
Barry Mitchell,Steven Parker,0.2,"['Grader', 'TA']",TA
Mark Prince,Kimberly Friedman,0.2,"['TA', 'Grader']",TA
Mark Prince,Jessica Wood,0.2,"['TA', 'Grader']",TA
Mark Prince,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Mark Prince,Steven Parker,0.2,"['Grader', 'TA']",TA
Mark Prince,Christopher Smith,0.2,"['RA', 'TA']",TA
Barry Mitchell,Kimberly Friedman,0.2,"['TA', 'Grader']",TA
Barry Mitchell,Jessica Wood,0.2,"['TA', 'Grader']",TA
Barry Mitchell,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Erin Sloan,Christopher Smith,0.2,"['RA', 'TA']",RA
Alexandria Owens,Chelsea Wallace,0.2,"['Grader', 'TA']",Grader
Pamela Baxter,Christopher Lee DVM,0.2,"['TA', 'RA']",TA
Pamela Baxter,Nicole Payne,0.2,['TA'],TA
Mark Prince,Nicole Payne,0.2,['TA'],TA
Christopher Russell,Michael Matthews,0.16,['Grader'],RA
Dakota Jefferson,Ashley Washington,0.16,['TA'],Grader
David Lara,Steven Parker,0.16,"['Grader', 'TA']",RA
Jesse Ruiz,Jessica Wood,0.16,"['TA', 'Grader']",RA
Diana Ross,Kimberly Friedman,0.16,"['TA', 'Grader']",RA
Jacqueline Sullivan,Kimberly Friedman,0.16,"['TA', 'Grader']",RA
Jacqueline Sullivan,Jessica Wood,0.16,"['TA', 'Grader']",RA
Austin Landry DDS,Ashley Washington,0.16,['TA'],Grader
Paul Rogers,Ashley Washington,0.16,['TA'],Grader
Kimberly White,Jessica Wood,0.16,"['TA', 'Grader']",RA
Douglas Rhodes,Ashley Washington,0.16,['TA'],Grader
Dana White,Ashley Washington,0.16,['TA'],Grader
Crystal Cooper,Michael Matthews,0.16,['Grader'],TA
Colleen Thomas PhD,Kimberly Friedman,0.16,"['TA', 'Grader']",RA
David Lara,Jessica Wood,0.16,"['TA', 'Grader']",RA
Kristie Rose,Ashley Washington,0.16,['TA'],RA
Dylan Castillo,Ashley Washington,0.16,['TA'],Grader
Chad Oconnell,Jessica Wood,0.16,"['TA', 'Grader']",RA
Tammy Wyatt,Michael Matthews,0.16,['Grader'],TA
Bonnie Edwards,Ashley Washington,0.16,['TA'],RA
Paige Rivera MD,Ashley Washington,0.16,['TA'],RA
Mr. Walter Henson DDS,Michael Matthews,0.16,['Grader'],TA
Laura Moore,Michael Matthews,0.16,['Grader'],TA
Lisa Mills,Ashley Washington,0.16,['TA'],RA
Christopher Little,Jessica Wood,0.16,"['TA', 'Grader']",RA
Ryan Freeman,Michael Matthews,0.16,['Grader'],TA
Alexis Simmons,Ashley Washington,0.16,['TA'],RA
Christopher Little,Steven Parker,0.16,"['Grader', 'TA']",RA
Joseph Smith,Ashley Washington,0.16,['TA'],Grader
Carol Perkins,Jessica Wood,0.16,"['TA', 'Grader']",RA
Steven Rivera,Kimberly Friedman,0.16,"['TA', 'Grader']",RA
Christopher Little,Michael Matthews,0.16,['Grader'],RA
Christopher Little,Kimberly Friedman,0.16,"['TA', 'Grader']",RA
Pamela Baxter,Michael Matthews,0.16,['Grader'],TA
Carol Perkins,Ashley Washington,0.16,['TA'],RA
Nicole Byrd,Ashley Washington,0.16,['TA'],RA
Joshua Mooney,Ashley Washington,0.16,['TA'],Grader
Harold Rogers,Michael Matthews,0.16,['Grader'],TA
Alexandria Owens,Ashley Washington,0.16,['TA'],Grader
Samantha Gonzales,Michael Matthews,0.16,['Grader'],TA
Patrick Johnson,Jessica Wood,0.16,"['TA', 'Grader']",RA
Patrick Freeman,Michael Matthews,0.16,['Grader'],RA
Patrick Freeman,Ashley Washington,0.16,['TA'],RA
David Anderson,Ashley Washington,0.16,['TA'],RA
Sandra Gomez MD,Michael Matthews,0.16,['Grader'],TA
Kristie Rose,Michael Matthews,0.16,['Grader'],RA
David Lara,Michael Matthews,0.16,['Grader'],RA
Michael Orozco,Ashley Washington,0.16,['TA'],Grader
Joshua Clark,Ashley Washington,0.16,['TA'],RA
Jacqueline Lopez,Ashley Washington,0.16,['TA'],Grader
David Lara,Kimberly Friedman,0.16,"['TA', 'Grader']",RA
Mark Wolf,Ashley Washington,0.16,['TA'],Grader
Angela Johnson,Ashley Washington,0.16,['TA'],RA
Katherine Burgess,Ashley Washington,0.16,['TA'],RA
Jennifer Berry,Ashley Washington,0.16,['TA'],RA
Chelsea Becker,Steven Parker,0.13,"['Grader', 'TA']",RA
Tonya Garcia,Jessica Wood,0.13,"['TA', 'Grader']",RA
Rebecca Peterson,Steven Parker,0.13,"['Grader', 'TA']",RA
Luke Hickman,Steven Parker,0.13,"['Grader', 'TA']",RA
David Anderson,Steven Parker,0.13,"['Grader', 'TA']",RA
Kimberly Reese MD,Steven Parker,0.13,"['Grader', 'TA']",RA
James Carter,Steven Parker,0.13,"['Grader', 'TA']",RA
David Gardner,Ashley Washington,0.13,['TA'],RA
David Gardner,Jessica Wood,0.13,"['TA', 'Grader']",RA
Veronica Reynolds,Steven Parker,0.13,"['Grader', 'TA']",RA
Justin Davis,Steven Parker,0.13,"['Grader', 'TA']",RA
Andrea Roy,Ashley Washington,0.13,['TA'],Grader
Brian Santiago,Jessica Wood,0.13,"['TA', 'Grader']",RA
Brian Santiago,Ashley Washington,0.13,['TA'],RA
Jesse Ruiz,Steven Parker,0.13,"['Grader', 'TA']",RA
David Wolfe,Ashley Washington,0.13,['TA'],Grader
Alexandria Shields,Steven Parker,0.13,"['Grader', 'TA']",RA
Jared Gross,Jessica Wood,0.13,"['TA', 'Grader']",RA
Rebekah White,Ashley Washington,0.13,['TA'],Grader
April George,Jessica Wood,0.13,"['TA', 'Grader']",RA
Joshua Clark,Steven Parker,0.13,"['Grader', 'TA']",RA
Kimberly Sanchez,Steven Parker,0.13,"['Grader', 'TA']",RA
Kristie Rose,Steven Parker,0.08,"['Grader', 'TA']",RA
Kristie Rose,Jessica Wood,0.08,"['TA', 'Grader']",RA
Peter Smith,Ashley Washington,0.08,['TA'],Grader
Ryan Mathews,Michael Matthews,0.08,['Grader'],RA
Colleen Thomas PhD,Michael Matthews,0.08,['Grader'],RA
Colleen Thomas PhD,Ashley Washington,0.08,['TA'],RA
Amber George,Michael Matthews,0.08,['Grader'],TA
David Lara,Ashley Washington,0.08,['TA'],RA
Lisa Burton,Ashley Washington,0.08,['TA'],RA
Ryan Collins Jr.,Ashley Washington,0.08,['TA'],Grader
Angela Johnson,Michael Matthews,0.08,['Grader'],RA
Martha Cooper,Ashley Washington,0.08,['TA'],Grader
Martha Cooper,Christopher Smith,0.08,"['RA', 'TA']",Grader
Joseph Harmon,Michael Matthews,0.08,['Grader'],RA
Jennifer Berry,Michael Matthews,0.08,['Grader'],RA
April George,Michael Matthews,0.08,['Grader'],RA
April George,Ashley Washington,0.08,['TA'],RA
Dylan Castillo,Christopher Smith,0.08,"['RA', 'TA']",Grader
April George,Steven Parker,0.08,"['Grader', 'TA']",RA
Kristen Clay,Jessica Wood,0.08,"['TA', 'Grader']",RA
Maria Carroll,Michael Matthews,0.08,['Grader'],RA
Maria Carroll,Ashley Washington,0.08,['TA'],RA
Maria Carroll,Kimberly Friedman,0.08,"['TA', 'Grader']",RA
Maria Carroll,Steven Parker,0.08,"['Grader', 'TA']",RA
Jennifer Miller,Michael Matthews,0.08,['Grader'],RA
Jennifer Miller,Ashley Washington,0.08,['TA'],RA
Brittany Mills,Kimberly Friedman,0.08,"['TA', 'Grader']",RA
Brittany Mills,Jessica Wood,0.08,"['TA', 'Grader']",RA
Brittany Mills,Steven Parker,0.08,"['Grader', 'TA']",RA
Dr. Gabrielle King,Kimberly Friedman,0.08,"['TA', 'Grader']",RA
Dr. Gabrielle King,Jessica Wood,0.08,"['TA', 'Grader']",RA
Dr. Gabrielle King,Steven Parker,0.08,"['Grader', 'TA']",RA
Mr. Thomas Carter Jr.,Ashley Washington,0.08,['TA'],Grader
Elizabeth Burns,Michael Matthews,0.08,['Grader'],RA
Elizabeth Burns,Ashley Washington,0.08,['TA'],RA
Joshua Clark,Michael Matthews,0.08,['Grader'],RA
Brett Williams,Michael Matthews,0.08,['Grader'],RA
Katherine Burgess,Michael Matthews,0.08,['Grader'],RA
Brandon Ruiz,Michael Matthews,0.08,['Grader'],TA
Laura Gray,Michael Matthews,0.08,['Grader'],TA
Mr. Thomas Carter Jr.,Christopher Smith,0.08,"['RA', 'TA']",Grader
Dr. Gabrielle King,Michael Matthews,0.08,['Grader'],RA
Carol Perkins,Michael Matthews,0.08,['Grader'],RA
Carol Perkins,Kimberly Friedman,0.08,"['TA', 'Grader']",RA
Jason Melton,Ashley Washington,0.08,['TA'],RA
Jason Melton,Jessica Wood,0.08,"['TA', 'Grader']",RA
Erin Sloan,Jessica Wood,0.08,"['TA', 'Grader']",RA
Wayne Carrillo,Jessica Wood,0.08,"['TA', 'Grader']",RA
Megan Ramirez,Ashley Washington,0.08,['TA'],Grader
Megan Ramirez,Christopher Smith,0.08,"['RA', 'TA']",Grader
Brittany Mills,Michael Matthews,0.08,['Grader'],RA
Angel Thornton DVM,Ashley Washington,0.08,['TA'],Grader
Michael Bautista,Michael Matthews,0.08,['Grader'],TA
Anna Scott,Michael Matthews,0.08,['Grader'],TA
Sabrina Sullivan,Kimberly Friedman,0.08,"['TA', 'Grader']",RA
Sabrina Sullivan,Jessica Wood,0.08,"['TA', 'Grader']",RA
Todd Bowen,Ashley Washington,0.08,['TA'],Grader
Jennifer Miller,Steven Parker,0.08,"['Grader', 'TA']",RA
Angela Salazar,Michael Matthews,0.08,['Grader'],TA
Lisa Mills,Steven Parker,0.08,"['Grader', 'TA']",RA
Gregory Martin,Michael Matthews,0.08,['Grader'],RA
Gregory Martin,Ashley Washington,0.08,['TA'],RA
Gregory Martin,Kimberly Friedman,0.08,"['TA', 'Grader']",RA
Gregory Martin,Jessica Wood,0.08,"['TA', 'Grader']",RA
Jared Gross,Kimberly Friedman,0.08,"['TA', 'Grader']",RA
Brett Williams,Steven Parker,0.08,"['Grader', 'TA']",RA
Barry Mitchell,Michael Matthews,0.08,['Grader'],TA
Andrew Wood,Ashley Washington,0.08,['TA'],Grader
Tara Ayers,Michael Matthews,0.08,['Grader'],TA
Kristen Clay,Kimberly Friedman,0.08,"['TA', 'Grader']",RA
Patrick Johnson,Michael Matthews,0.08,['Grader'],RA
Alexandria Shields,Kimberly Friedman,0.08,"['TA', 'Grader']",RA
Alexandria Shields,Jessica Wood,0.08,"['TA', 'Grader']",RA
Allison Moore,Michael Matthews,0.08,['Grader'],RA
Allison Moore,Steven Parker,0.08,"['Grader', 'TA']",RA
Veronica Reynolds,Jessica Wood,0.08,"['TA', 'Grader']",RA
Scott James,Kimberly Friedman,0.08,"['TA', 'Grader']",RA
Patrick Freeman,Kimberly Friedman,0.08,"['TA', 'Grader']",RA
Patrick Freeman,Jessica Wood,0.08,"['TA', 'Grader']",RA
Robin Landry,Michael Matthews,0.08,['Grader'],RA
Robin Landry,Steven Parker,0.08,"['Grader', 'TA']",RA
David Anderson,Michael Matthews,0.08,['Grader'],RA
Joseph Harmon,Ashley Washington,0.08,['TA'],RA
Randy Thomas,Ashley Washington,0.08,['TA'],Grader
Carol Perkins,Steven Parker,0.08,"['Grader', 'TA']",RA
Richard Cantu,Ashley Washington,0.08,['TA'],Grader
Paige Rivera MD,Kimberly Friedman,0.08,"['TA', 'Grader']",RA
Paige Rivera MD,Jessica Wood,0.08,"['TA', 'Grader']",RA
David Gardner,Steven Parker,0.08,"['Grader', 'TA']",RA
Steven Rivera,Jessica Wood,0.08,"['TA', 'Grader']",RA
Alexis Simmons,Michael Matthews,0.08,['Grader'],RA
David Brock,Ashley Washington,0.08,['TA'],Grader
Lisa Mills,Michael Matthews,0.08,['Grader'],RA
Lisa Mills,Kimberly Friedman,0.08,"['TA', 'Grader']",RA
Lisa Mills,Jessica Wood,0.08,"['TA', 'Grader']",RA
James Hawkins,Michael Matthews,0.08,['Grader'],RA
James Hawkins,Steven Parker,0.08,"['Grader', 'TA']",RA
Jennifer Miller,Kimberly Friedman,0.08,"['TA', 'Grader']",RA
David Brock,Christopher Smith,0.08,"['RA', 'TA']",Grader
Christopher Little,Ashley Washington,0.08,['TA'],RA
Amanda Jackson,Ashley Washington,0.08,['TA'],Grader
Dustin Lowe,Michael Matthews,0.08,['Grader'],TA
Jonathan Ballard,Christopher Smith,0.08,"['RA', 'TA']",Grader
Chad Oconnell,Ashley Washington,0.08,['TA'],RA
Veronica Reynolds,Michael Matthews,0.08,['Grader'],RA
Veronica Reynolds,Ashley Washington,0.08,['TA'],RA
Diana Ross,Michael Matthews,0.08,['Grader'],RA
Shawn Walker,Michael Matthews,0.08,['Grader'],TA
Justin Davis,Kimberly Friedman,0.08,"['TA', 'Grader']",RA
Angela Johnson,Jessica Wood,0.08,"['TA', 'Grader']",RA
Angela Johnson,Steven Parker,0.08,"['Grader', 'TA']",RA
David Anderson,Jessica Wood,0.08,"['TA', 'Grader']",RA
Scott Summers,Ashley Washington,0.08,['TA'],Grader
Brandon Perez,Michael Matthews,0.08,['Grader'],TA
Renee Walker,Ashley Washington,0.08,['TA'],RA
Richard Butler,Kimberly Friedman,0.08,"['TA', 'Grader']",RA
Richard Butler,Jessica Wood,0.08,"['TA', 'Grader']",RA
Alfred Estrada,Michael Matthews,0.08,['Grader'],RA
Alfred Estrada,Ashley Washington,0.08,['TA'],RA
Alfred Estrada,Kimberly Friedman,0.08,"['TA', 'Grader']",RA
Alfred Estrada,Jessica Wood,0.08,"['TA', 'Grader']",RA
Maria Wu,Kimberly Friedman,0.08,"['TA', 'Grader']",RA
Maria Wu,Jessica Wood,0.08,"['TA', 'Grader']",RA
Kimberly Reese MD,Ashley Washington,0.08,['TA'],RA
Kimberly Reese MD,Jessica Wood,0.08,"['TA', 'Grader']",RA
Paige Rivera MD,Michael Matthews,0.08,['Grader'],RA
Bonnie Edwards,Kimberly Friedman,0.08,"['TA', 'Grader']",RA
Bonnie Edwards,Jessica Wood,0.08,"['TA', 'Grader']",RA
