student,professor,score,reasons
Benjamin Huang,Nicole Payne,30,matched desired role: TA
Benjamin Huang,Christopher Lee DVM,30,matched desired role: TA
Benjamin Huang,Jeffrey Weiss,30,matched desired role: TA
Benjamin Huang,Jason Smith,30,matched desired role: TA
Benjamin Huang,Casey Nunez,30,matched desired role: TA
Benjamin Huang,John Dawson,30,matched desired role: TA
Benjamin Huang,Adrienne Miles,30,matched desired role: TA
Benjamin Huang,Alan Butler,30,matched desired role: TA
Benjamin Huang,Jessica Davis,30,matched desired role: TA
Benjamin Huang,Diana Parker,30,matched desired role: TA
Benjamin Huang,Joshua Ross,30,matched desired role: TA
Benjamin Huang,Dr. Kristin Baldwin,30,matched desired role: TA
Benjamin Huang,Courtney Pitts,30,matched desired role: TA
Benjamin Huang,Karen Price,30,matched desired role: TA
Benjamin Huang,Elizabeth Perry,30,matched desired role: TA
Benjamin Huang,Betty Silva,30,matched desired role: TA
Benjamin Huang,Jane Mckenzie,30,matched desired role: TA
Benjamin Huang,Amber Smith MD,30,matched desired role: TA
Benjamin Huang,Paul Robinson,30,matched desired role: TA
Benjamin Huang,Rebecca Terry,30,matched desired role: TA
Benjamin Huang,Andrea Hart,30,matched desired role: TA
Benjamin Huang,David Stokes,30,matched desired role: TA
Caitlin Fleming,Christopher Smith,30,matched desired role: TA
Caitlin Fleming,Steven Parker,30,matched desired role: TA
Caitlin Fleming,Chelsea Wallace,30,matched desired role: TA
Caitlin Fleming,Jessica Wood,30,matched desired role: TA
Caitlin Fleming,Kimberly Friedman,30,matched desired role: TA
Caitlin Fleming,Ashley Washington,30,matched desired role: TA
Caitlin Fleming,Nicole Payne,30,matched desired role: TA
Caitlin Fleming,Christopher Lee DVM,30,matched desired role: TA
Caitlin Fleming,Jeffrey Weiss,30,matched desired role: TA
Caitlin Fleming,Jason Smith,30,matched desired role: TA
Caitlin Fleming,Casey Nunez,30,matched desired role: TA
Caitlin Fleming,John Dawson,30,matched desired role: TA
Caitlin Fleming,Adrienne Miles,30,matched desired role: TA
Caitlin Fleming,Alan Butler,30,matched desired role: TA
Caitlin Fleming,Jessica Davis,30,matched desired role: TA
Caitlin Fleming,Diana Parker,30,matched desired role: TA
Caitlin Fleming,Joshua Ross,30,matched desired role: TA
Caitlin Fleming,Dr. Kristin Baldwin,30,matched desired role: TA
Caitlin Fleming,Courtney Pitts,30,matched desired role: TA
Caitlin Fleming,Karen Price,30,matched desired role: TA
Caitlin Fleming,Elizabeth Perry,30,matched desired role: TA
Caitlin Fleming,Betty Silva,30,matched desired role: TA
Caitlin Fleming,Jane Mckenzie,30,matched desired role: TA
Caitlin Fleming,Amber Smith MD,30,matched desired role: TA
Caitlin Fleming,Paul Robinson,30,matched desired role: TA
Caitlin Fleming,Rebecca Terry,30,matched desired role: TA
Caitlin Fleming,Andrea Hart,30,matched desired role: TA
Caitlin Fleming,David Stokes,30,matched desired role: TA
Angela Oneal,Christopher Smith,30,matched desired role: TA
Angela Oneal,Steven Parker,30,matched desired role: TA
Angela Oneal,Chelsea Wallace,30,matched desired role: TA
Angela Oneal,Jessica Wood,30,matched desired role: TA
Angela Oneal,Kimberly Friedman,30,matched desired role: TA
Angela Oneal,Ashley Washington,30,matched desired role: TA
Angela Oneal,Nicole Payne,30,matched desired role: TA
Angela Oneal,Christopher Lee DVM,30,matched desired role: TA
Angela Oneal,Jeffrey Weiss,30,matched desired role: TA
Angela Oneal,Jason Smith,30,matched desired role: TA
Angela Oneal,Casey Nunez,30,matched desired role: TA
Angela Oneal,John Dawson,30,matched desired role: TA
Angela Oneal,Adrienne Miles,30,matched desired role: TA
Angela Oneal,Alan Butler,30,matched desired role: TA
Angela Oneal,Jessica Davis,30,matched desired role: TA
Angela Oneal,Diana Parker,30,matched desired role: TA
Angela Oneal,Joshua Ross,30,matched desired role: TA
Angela Oneal,Dr. Kristin Baldwin,30,matched desired role: TA
Angela Oneal,Courtney Pitts,30,matched desired role: TA
Angela Oneal,Karen Price,30,matched desired role: TA
Angela Oneal,Elizabeth Perry,30,matched desired role: TA
Angela Oneal,Betty Silva,30,matched desired role: TA
Angela Oneal,Jane Mckenzie,30,matched desired role: TA
Angela Oneal,Amber Smith MD,30,matched desired role: TA
Angela Oneal,Paul Robinson,30,matched desired role: TA
Angela Oneal,Rebecca Terry,30,matched desired role: TA
Angela Oneal,Andrea Hart,30,matched desired role: TA
Angela Oneal,David Stokes,30,matched desired role: TA
Charles Wolfe,Christopher Smith,30,matched desired role: TA
Charles Wolfe,Steven Parker,30,matched desired role: TA
Charles Wolfe,Chelsea Wallace,30,matched desired role: TA
Charles Wolfe,Jessica Wood,70,shared interest in Financial Forecasting; matched desired role: TA
Charles Wolfe,Kimberly Friedman,30,matched desired role: TA
Charles Wolfe,Ashley Washington,70,shared interest in Financial Forecasting; matched desired role: TA
Charles Wolfe,Michael Matthews,40,shared interest in Financial Forecasting
Charles Wolfe,Nicole Payne,30,matched desired role: TA
Charles Wolfe,Christopher Lee DVM,30,matched desired role: TA
Charles Wolfe,Jeffrey Weiss,30,matched desired role: TA
Charles Wolfe,Jason Smith,30,matched desired role: TA
Charles Wolfe,Casey Nunez,30,matched desired role: TA
Charles Wolfe,John Dawson,30,matched desired role: TA
Charles Wolfe,Adrienne Miles,70,shared interest in Financial Forecasting; matched desired role: TA
Charles Wolfe,Alan Butler,30,matched desired role: TA
Charles Wolfe,Jessica Davis,30,matched desired role: TA
Charles Wolfe,Diana Parker,30,matched desired role: TA
Charles Wolfe,Joshua Ross,30,matched desired role: TA
Charles Wolfe,Dr. Kristin Baldwin,30,matched desired role: TA
Charles Wolfe,Courtney Pitts,30,matched desired role: TA
Charles Wolfe,Karen Price,70,shared interest in Financial Forecasting; matched desired role: TA
Charles Wolfe,Elizabeth Perry,30,matched desired role: TA
Charles Wolfe,Betty Silva,30,matched desired role: TA
Charles Wolfe,Jane Mckenzie,30,matched desired role: TA
Charles Wolfe,Amber Smith MD,30,matched desired role: TA
Charles Wolfe,Paul Robinson,30,matched desired role: TA
Charles Wolfe,Rebecca Terry,30,matched desired role: TA
Charles Wolfe,Andrea Hart,30,matched desired role: TA
Charles Wolfe,David Stokes,30,matched desired role: TA
Craig Weber,Christopher Smith,30,matched desired role: RA
Craig Weber,Beth Taylor,30,matched desired role: RA
Craig Weber,Christopher Lee DVM,30,matched desired role: RA
Craig Weber,Scott Foster PhD,30,matched desired role: RA
Craig Weber,Mercedes Francis,30,matched desired role: RA
Craig Weber,Casey Nunez,30,matched desired role: RA
Craig Weber,Shannon Reyes,30,matched desired role: RA
Craig Weber,Jeanne Clark,30,matched desired role: RA
Craig Weber,Victoria Oliver,30,matched desired role: RA
Craig Weber,Adrienne Miles,30,matched desired role: RA
Craig Weber,Jennifer Harper,30,matched desired role: RA
Craig Weber,Tony Singh,30,matched desired role: RA
Craig Weber,Marie Wilkinson,30,matched desired role: RA
Craig Weber,Roberto Delgado,30,matched desired role: RA
Craig Weber,Patrick Dillon,30,matched desired role: RA
Craig Weber,Brenda Thomas,30,matched desired role: RA
Frederick Obrien,Christopher Smith,30,matched desired role: RA
Frederick Obrien,Beth Taylor,30,matched desired role: RA
Frederick Obrien,Jessica Wood,40,shared interest in Smart Cities
Frederick Obrien,Christopher Lee DVM,30,matched desired role: RA
Frederick Obrien,Scott Foster PhD,35,skill overlap: Natural Language Processing; matched desired role: RA
Frederick Obrien,Jeffrey Weiss,40,shared interest in Smart Cities
Frederick Obrien,Mercedes Francis,30,matched desired role: RA
Frederick Obrien,Casey Nunez,35,skill overlap: Natural Language Processing; matched desired role: RA
Frederick Obrien,Shannon Reyes,30,matched desired role: RA
Frederick Obrien,Jeanne Clark,30,matched desired role: RA
Frederick Obrien,Victoria Oliver,30,matched desired role: RA
Frederick Obrien,Adrienne Miles,30,matched desired role: RA
Frederick Obrien,Jennifer Harper,30,matched desired role: RA
Frederick Obrien,Tony Singh,30,matched desired role: RA
Frederick Obrien,Marie Wilkinson,30,matched desired role: RA
Frederick Obrien,Jessica Davis,5,skill overlap: Natural Language Processing
Frederick Obrien,Joshua Ross,5,skill overlap: Natural Language Processing
Frederick Obrien,Roberto Delgado,30,matched desired role: RA
Frederick Obrien,Patrick Dillon,70,shared interest in Smart Cities; matched desired role: RA
Frederick Obrien,Brenda Thomas,70,shared interest in Smart Cities; matched desired role: RA
Frederick Obrien,Amber Smith MD,40,shared interest in Smart Cities
Frederick Obrien,Anthony Ruiz,5,skill overlap: Natural Language Processing
Frederick Obrien,Rebecca Terry,5,skill overlap: Natural Language Processing
Frederick Obrien,David Stokes,5,skill overlap: Natural Language Processing
Dana Burns,Steven Parker,30,matched desired role: Grader
Dana Burns,Beth Taylor,30,matched desired role: Grader
Dana Burns,Chelsea Wallace,30,matched desired role: Grader
Dana Burns,Jessica Wood,30,matched desired role: Grader
Dana Burns,Kimberly Friedman,30,matched desired role: Grader
Dana Burns,Michael Matthews,30,matched desired role: Grader
Dana Burns,Scott Foster PhD,30,matched desired role: Grader
Dana Burns,Shawn Medina,30,matched desired role: Grader
Dana Burns,Mercedes Francis,30,matched desired role: Grader
Dana Burns,Shannon Reyes,30,matched desired role: Grader
Dana Burns,John Dawson,30,matched desired role: Grader
Dana Burns,Jeanne Clark,30,matched desired role: Grader
Dana Burns,Victoria Oliver,30,matched desired role: Grader
Dana Burns,Alan Butler,30,matched desired role: Grader
Dana Burns,Diana Parker,30,matched desired role: Grader
Dana Burns,Michael Soto,30,matched desired role: Grader
Dana Burns,Roberto Delgado,30,matched desired role: Grader
Dana Burns,Courtney Pitts,30,matched desired role: Grader
Dana Burns,Brenda Thomas,30,matched desired role: Grader
Dana Burns,Stephanie Hall,30,matched desired role: Grader
Dana Burns,Paul Robinson,30,matched desired role: Grader
Dana Burns,Jamie Bowen,30,matched desired role: Grader
Dana Burns,Anthony Ruiz,30,matched desired role: Grader
Dana Burns,Christopher Bennett,30,matched desired role: Grader
Dana Burns,Rebecca Terry,30,matched desired role: Grader
Dana Burns,Bradley Elliott,30,matched desired role: Grader
Dana Burns,Heather Mckinney,30,matched desired role: Grader
Dana Burns,Brenda Marquez,30,matched desired role: Grader
Michael Hawkins,Christopher Smith,30,matched desired role: RA
Michael Hawkins,Beth Taylor,30,matched desired role: RA
Michael Hawkins,Christopher Lee DVM,30,matched desired role: RA
Michael Hawkins,Scott Foster PhD,35,skill overlap: Natural Language Processing; matched desired role: RA
Michael Hawkins,Mercedes Francis,30,matched desired role: RA
Michael Hawkins,Casey Nunez,35,skill overlap: Natural Language Processing; matched desired role: RA
Michael Hawkins,Shannon Reyes,30,matched desired role: RA
Michael Hawkins,Jeanne Clark,30,matched desired role: RA
Michael Hawkins,Victoria Oliver,30,matched desired role: RA
Michael Hawkins,Adrienne Miles,30,matched desired role: RA
Michael Hawkins,Jennifer Harper,30,matched desired role: RA
Michael Hawkins,Tony Singh,30,matched desired role: RA
Michael Hawkins,Marie Wilkinson,30,matched desired role: RA
Michael Hawkins,Jessica Davis,5,skill overlap: Natural Language Processing
Michael Hawkins,Joshua Ross,5,skill overlap: Natural Language Processing
Michael Hawkins,Roberto Delgado,30,matched desired role: RA
Michael Hawkins,Patrick Dillon,30,matched desired role: RA
Michael Hawkins,Brenda Thomas,30,matched desired role: RA
Michael Hawkins,Anthony Ruiz,5,skill overlap: Natural Language Processing
Michael Hawkins,Rebecca Terry,5,skill overlap: Natural Language Processing
Michael Hawkins,David Stokes,5,skill overlap: Natural Language Processing
Tara Lindsey,Steven Parker,30,matched desired role: Grader
Tara Lindsey,Beth Taylor,30,matched desired role: Grader
Tara Lindsey,Chelsea Wallace,30,matched desired role: Grader
Tara Lindsey,Jessica Wood,30,matched desired role: Grader
Tara Lindsey,Kimberly Friedman,30,matched desired role: Grader
Tara Lindsey,Michael Matthews,30,matched desired role: Grader
Tara Lindsey,Scott Foster PhD,30,matched desired role: Grader
Tara Lindsey,Shawn Medina,30,matched desired role: Grader
Tara Lindsey,Mercedes Francis,30,matched desired role: Grader
Tara Lindsey,Shannon Reyes,30,matched desired role: Grader
Tara Lindsey,John Dawson,30,matched desired role: Grader
Tara Lindsey,Jeanne Clark,30,matched desired role: Grader
Tara Lindsey,Victoria Oliver,30,matched desired role: Grader
Tara Lindsey,Alan Butler,30,matched desired role: Grader
Tara Lindsey,Diana Parker,30,matched desired role: Grader
Tara Lindsey,Michael Soto,30,matched desired role: Grader
Tara Lindsey,Roberto Delgado,30,matched desired role: Grader
Tara Lindsey,Courtney Pitts,30,matched desired role: Grader
Tara Lindsey,Brenda Thomas,30,matched desired role: Grader
Tara Lindsey,Stephanie Hall,30,matched desired role: Grader
Tara Lindsey,Paul Robinson,30,matched desired role: Grader
Tara Lindsey,Jamie Bowen,30,matched desired role: Grader
Tara Lindsey,Anthony Ruiz,30,matched desired role: Grader
Tara Lindsey,Christopher Bennett,30,matched desired role: Grader
Tara Lindsey,Rebecca Terry,30,matched desired role: Grader
Tara Lindsey,Bradley Elliott,30,matched desired role: Grader
Tara Lindsey,Heather Mckinney,30,matched desired role: Grader
Tara Lindsey,Brenda Marquez,30,matched desired role: Grader
Kendra Bernard,Steven Parker,30,matched desired role: Grader
Kendra Bernard,Beth Taylor,30,matched desired role: Grader
Kendra Bernard,Chelsea Wallace,30,matched desired role: Grader
Kendra Bernard,Jessica Wood,30,matched desired role: Grader
Kendra Bernard,Kimberly Friedman,30,matched desired role: Grader
Kendra Bernard,Michael Matthews,30,matched desired role: Grader
Kendra Bernard,Scott Foster PhD,30,matched desired role: Grader
Kendra Bernard,Shawn Medina,30,matched desired role: Grader
Kendra Bernard,Mercedes Francis,30,matched desired role: Grader
Kendra Bernard,Shannon Reyes,30,matched desired role: Grader
Kendra Bernard,John Dawson,30,matched desired role: Grader
Kendra Bernard,Jeanne Clark,30,matched desired role: Grader
Kendra Bernard,Victoria Oliver,30,matched desired role: Grader
Kendra Bernard,Alan Butler,30,matched desired role: Grader
Kendra Bernard,Diana Parker,30,matched desired role: Grader
Kendra Bernard,Michael Soto,30,matched desired role: Grader
Kendra Bernard,Roberto Delgado,30,matched desired role: Grader
Kendra Bernard,Courtney Pitts,30,matched desired role: Grader
Kendra Bernard,Brenda Thomas,30,matched desired role: Grader
Kendra Bernard,Stephanie Hall,30,matched desired role: Grader
Kendra Bernard,Paul Robinson,30,matched desired role: Grader
Kendra Bernard,Jamie Bowen,30,matched desired role: Grader
Kendra Bernard,Anthony Ruiz,30,matched desired role: Grader
Kendra Bernard,Christopher Bennett,30,matched desired role: Grader
Kendra Bernard,Rebecca Terry,30,matched desired role: Grader
Kendra Bernard,Bradley Elliott,30,matched desired role: Grader
Kendra Bernard,Heather Mckinney,30,matched desired role: Grader
Kendra Bernard,Brenda Marquez,30,matched desired role: Grader
Dale Stevens,Steven Parker,30,matched desired role: Grader
Dale Stevens,Beth Taylor,30,matched desired role: Grader
Dale Stevens,Chelsea Wallace,30,matched desired role: Grader
Dale Stevens,Jessica Wood,30,matched desired role: Grader
Dale Stevens,Kimberly Friedman,30,matched desired role: Grader
Dale Stevens,Michael Matthews,30,matched desired role: Grader
Dale Stevens,Scott Foster PhD,30,matched desired role: Grader
Dale Stevens,Shawn Medina,30,matched desired role: Grader
Dale Stevens,Mercedes Francis,30,matched desired role: Grader
Dale Stevens,Shannon Reyes,30,matched desired role: Grader
Dale Stevens,John Dawson,30,matched desired role: Grader
Dale Stevens,Jeanne Clark,30,matched desired role: Grader
Dale Stevens,Victoria Oliver,30,matched desired role: Grader
Dale Stevens,Alan Butler,30,matched desired role: Grader
Dale Stevens,Diana Parker,30,matched desired role: Grader
Dale Stevens,Michael Soto,30,matched desired role: Grader
Dale Stevens,Roberto Delgado,30,matched desired role: Grader
Dale Stevens,Courtney Pitts,30,matched desired role: Grader
Dale Stevens,Brenda Thomas,30,matched desired role: Grader
Dale Stevens,Stephanie Hall,30,matched desired role: Grader
Dale Stevens,Paul Robinson,30,matched desired role: Grader
Dale Stevens,Jamie Bowen,30,matched desired role: Grader
Dale Stevens,Anthony Ruiz,30,matched desired role: Grader
Dale Stevens,Christopher Bennett,30,matched desired role: Grader
Dale Stevens,Rebecca Terry,30,matched desired role: Grader
Dale Stevens,Bradley Elliott,30,matched desired role: Grader
Dale Stevens,Heather Mckinney,30,matched desired role: Grader
Dale Stevens,Brenda Marquez,30,matched desired role: Grader
Kevin Murphy,Christopher Smith,30,matched desired role: RA
Kevin Murphy,Beth Taylor,30,matched desired role: RA
Kevin Murphy,Christopher Lee DVM,30,matched desired role: RA
Kevin Murphy,Scott Foster PhD,30,matched desired role: RA
Kevin Murphy,Mercedes Francis,30,matched desired role: RA
Kevin Murphy,Casey Nunez,30,matched desired role: RA
Kevin Murphy,Shannon Reyes,30,matched desired role: RA
Kevin Murphy,Jeanne Clark,30,matched desired role: RA
Kevin Murphy,Victoria Oliver,30,matched desired role: RA
Kevin Murphy,Adrienne Miles,30,matched desired role: RA
Kevin Murphy,Jennifer Harper,30,matched desired role: RA
Kevin Murphy,Tony Singh,30,matched desired role: RA
Kevin Murphy,Marie Wilkinson,30,matched desired role: RA
Kevin Murphy,Roberto Delgado,30,matched desired role: RA
Kevin Murphy,Patrick Dillon,30,matched desired role: RA
Kevin Murphy,Brenda Thomas,30,matched desired role: RA
Alyssa Turner,Christopher Smith,30,matched desired role: RA
Alyssa Turner,Beth Taylor,30,matched desired role: RA
Alyssa Turner,Christopher Lee DVM,30,matched desired role: RA
Alyssa Turner,Scott Foster PhD,30,matched desired role: RA
Alyssa Turner,Mercedes Francis,30,matched desired role: RA
Alyssa Turner,Casey Nunez,30,matched desired role: RA
Alyssa Turner,Shannon Reyes,30,matched desired role: RA
Alyssa Turner,Jeanne Clark,30,matched desired role: RA
Alyssa Turner,Victoria Oliver,30,matched desired role: RA
Alyssa Turner,Adrienne Miles,30,matched desired role: RA
Alyssa Turner,Jennifer Harper,30,matched desired role: RA
Alyssa Turner,Tony Singh,30,matched desired role: RA
Alyssa Turner,Marie Wilkinson,30,matched desired role: RA
Alyssa Turner,Roberto Delgado,30,matched desired role: RA
Alyssa Turner,Patrick Dillon,30,matched desired role: RA
Alyssa Turner,Brenda Thomas,30,matched desired role: RA
April Bailey,Christopher Smith,30,matched desired role: RA
April Bailey,Beth Taylor,30,matched desired role: RA
April Bailey,Christopher Lee DVM,30,matched desired role: RA
April Bailey,Scott Foster PhD,30,matched desired role: RA
April Bailey,Mercedes Francis,30,matched desired role: RA
April Bailey,Casey Nunez,30,matched desired role: RA
April Bailey,Shannon Reyes,30,matched desired role: RA
April Bailey,Jeanne Clark,30,matched desired role: RA
April Bailey,Victoria Oliver,30,matched desired role: RA
April Bailey,Adrienne Miles,30,matched desired role: RA
April Bailey,Jennifer Harper,30,matched desired role: RA
April Bailey,Tony Singh,30,matched desired role: RA
April Bailey,Marie Wilkinson,30,matched desired role: RA
April Bailey,Roberto Delgado,30,matched desired role: RA
April Bailey,Patrick Dillon,30,matched desired role: RA
April Bailey,Brenda Thomas,30,matched desired role: RA
Robert Bray,Christopher Smith,30,matched desired role: TA
Robert Bray,Steven Parker,30,matched desired role: TA
Robert Bray,Chelsea Wallace,30,matched desired role: TA
Robert Bray,Jessica Wood,30,matched desired role: TA
Robert Bray,Kimberly Friedman,30,matched desired role: TA
Robert Bray,Ashley Washington,30,matched desired role: TA
Robert Bray,Nicole Payne,30,matched desired role: TA
Robert Bray,Christopher Lee DVM,30,matched desired role: TA
Robert Bray,Jeffrey Weiss,30,matched desired role: TA
Robert Bray,Jason Smith,70,shared interest in Genomics; matched desired role: TA
Robert Bray,Casey Nunez,30,matched desired role: TA
Robert Bray,Shannon Reyes,40,shared interest in Genomics
Robert Bray,John Dawson,30,matched desired role: TA
Robert Bray,Adrienne Miles,30,matched desired role: TA
Robert Bray,Alan Butler,30,matched desired role: TA
Robert Bray,Jessica Davis,30,matched desired role: TA
Robert Bray,Diana Parker,30,matched desired role: TA
Robert Bray,Joshua Ross,30,matched desired role: TA
Robert Bray,Dr. Kristin Baldwin,30,matched desired role: TA
Robert Bray,Courtney Pitts,30,matched desired role: TA
Robert Bray,Karen Price,30,matched desired role: TA
Robert Bray,Elizabeth Perry,30,matched desired role: TA
Robert Bray,Betty Silva,70,shared interest in Genomics; matched desired role: TA
Robert Bray,Jane Mckenzie,70,shared interest in Genomics; matched desired role: TA
Robert Bray,Amber Smith MD,30,matched desired role: TA
Robert Bray,Paul Robinson,30,matched desired role: TA
Robert Bray,Rebecca Terry,30,matched desired role: TA
Robert Bray,Andrea Hart,70,shared interest in Genomics; matched desired role: TA
Robert Bray,David Stokes,30,matched desired role: TA
Robert Bray,Brenda Marquez,40,shared interest in Genomics
Stephanie Reed,Christopher Smith,30,matched desired role: RA
Stephanie Reed,Beth Taylor,30,matched desired role: RA
Stephanie Reed,Christopher Lee DVM,30,matched desired role: RA
Stephanie Reed,Scott Foster PhD,30,matched desired role: RA
Stephanie Reed,Mercedes Francis,30,matched desired role: RA
Stephanie Reed,Casey Nunez,30,matched desired role: RA
Stephanie Reed,Shannon Reyes,30,matched desired role: RA
Stephanie Reed,Jeanne Clark,30,matched desired role: RA
Stephanie Reed,Victoria Oliver,30,matched desired role: RA
Stephanie Reed,Adrienne Miles,30,matched desired role: RA
Stephanie Reed,Jennifer Harper,30,matched desired role: RA
Stephanie Reed,Tony Singh,30,matched desired role: RA
Stephanie Reed,Marie Wilkinson,30,matched desired role: RA
Stephanie Reed,Roberto Delgado,30,matched desired role: RA
Stephanie Reed,Patrick Dillon,30,matched desired role: RA
Stephanie Reed,Brenda Thomas,30,matched desired role: RA
Pedro Stone,Christopher Smith,30,matched desired role: RA
Pedro Stone,Beth Taylor,30,matched desired role: RA
Pedro Stone,Christopher Lee DVM,30,matched desired role: RA
Pedro Stone,Scott Foster PhD,30,matched desired role: RA
Pedro Stone,Mercedes Francis,30,matched desired role: RA
Pedro Stone,Casey Nunez,30,matched desired role: RA
Pedro Stone,Shannon Reyes,30,matched desired role: RA
Pedro Stone,Jeanne Clark,30,matched desired role: RA
Pedro Stone,Victoria Oliver,30,matched desired role: RA
Pedro Stone,Adrienne Miles,30,matched desired role: RA
Pedro Stone,Jennifer Harper,30,matched desired role: RA
Pedro Stone,Tony Singh,30,matched desired role: RA
Pedro Stone,Marie Wilkinson,30,matched desired role: RA
Pedro Stone,Roberto Delgado,30,matched desired role: RA
Pedro Stone,Patrick Dillon,30,matched desired role: RA
Pedro Stone,Brenda Thomas,30,matched desired role: RA
Michael Simmons,Christopher Smith,30,matched desired role: RA
Michael Simmons,Beth Taylor,30,matched desired role: RA
Michael Simmons,Christopher Lee DVM,30,matched desired role: RA
Michael Simmons,Scott Foster PhD,35,skill overlap: Natural Language Processing; matched desired role: RA
Michael Simmons,Mercedes Francis,30,matched desired role: RA
Michael Simmons,Casey Nunez,35,skill overlap: Natural Language Processing; matched desired role: RA
Michael Simmons,Shannon Reyes,30,matched desired role: RA
Michael Simmons,Jeanne Clark,30,matched desired role: RA
Michael Simmons,Victoria Oliver,30,matched desired role: RA
Michael Simmons,Adrienne Miles,30,matched desired role: RA
Michael Simmons,Jennifer Harper,30,matched desired role: RA
Michael Simmons,Tony Singh,30,matched desired role: RA
Michael Simmons,Marie Wilkinson,30,matched desired role: RA
Michael Simmons,Jessica Davis,5,skill overlap: Natural Language Processing
Michael Simmons,Joshua Ross,5,skill overlap: Natural Language Processing
Michael Simmons,Roberto Delgado,30,matched desired role: RA
Michael Simmons,Patrick Dillon,30,matched desired role: RA
Michael Simmons,Brenda Thomas,30,matched desired role: RA
Michael Simmons,Anthony Ruiz,5,skill overlap: Natural Language Processing
Michael Simmons,Rebecca Terry,5,skill overlap: Natural Language Processing
Michael Simmons,David Stokes,5,skill overlap: Natural Language Processing
Christopher Lara,Christopher Smith,30,matched desired role: RA
Christopher Lara,Beth Taylor,30,matched desired role: RA
Christopher Lara,Christopher Lee DVM,30,matched desired role: RA
Christopher Lara,Scott Foster PhD,30,matched desired role: RA
Christopher Lara,Mercedes Francis,30,matched desired role: RA
Christopher Lara,Casey Nunez,30,matched desired role: RA
Christopher Lara,Shannon Reyes,30,matched desired role: RA
Christopher Lara,Jeanne Clark,30,matched desired role: RA
Christopher Lara,Victoria Oliver,30,matched desired role: RA
Christopher Lara,Adrienne Miles,30,matched desired role: RA
Christopher Lara,Jennifer Harper,30,matched desired role: RA
Christopher Lara,Tony Singh,30,matched desired role: RA
Christopher Lara,Marie Wilkinson,30,matched desired role: RA
Christopher Lara,Roberto Delgado,30,matched desired role: RA
Christopher Lara,Patrick Dillon,30,matched desired role: RA
Christopher Lara,Brenda Thomas,30,matched desired role: RA
Lynn Hoover,Christopher Smith,30,matched desired role: RA
Lynn Hoover,Beth Taylor,30,matched desired role: RA
Lynn Hoover,Christopher Lee DVM,30,matched desired role: RA
Lynn Hoover,Scott Foster PhD,35,skill overlap: Natural Language Processing; matched desired role: RA
Lynn Hoover,Mercedes Francis,30,matched desired role: RA
Lynn Hoover,Casey Nunez,35,skill overlap: Natural Language Processing; matched desired role: RA
Lynn Hoover,Shannon Reyes,30,matched desired role: RA
Lynn Hoover,Jeanne Clark,30,matched desired role: RA
Lynn Hoover,Victoria Oliver,30,matched desired role: RA
Lynn Hoover,Adrienne Miles,30,matched desired role: RA
Lynn Hoover,Jennifer Harper,30,matched desired role: RA
Lynn Hoover,Tony Singh,30,matched desired role: RA
Lynn Hoover,Marie Wilkinson,30,matched desired role: RA
Lynn Hoover,Jessica Davis,5,skill overlap: Natural Language Processing
Lynn Hoover,Joshua Ross,5,skill overlap: Natural Language Processing
Lynn Hoover,Roberto Delgado,30,matched desired role: RA
Lynn Hoover,Patrick Dillon,30,matched desired role: RA
Lynn Hoover,Brenda Thomas,30,matched desired role: RA
Lynn Hoover,Anthony Ruiz,5,skill overlap: Natural Language Processing
Lynn Hoover,Rebecca Terry,5,skill overlap: Natural Language Processing
Lynn Hoover,David Stokes,5,skill overlap: Natural Language Processing
Donald Lopez,Christopher Smith,30,matched desired role: RA
Donald Lopez,Beth Taylor,30,matched desired role: RA
Donald Lopez,Christopher Lee DVM,30,matched desired role: RA
Donald Lopez,Scott Foster PhD,30,matched desired role: RA
Donald Lopez,Mercedes Francis,30,matched desired role: RA
Donald Lopez,Casey Nunez,30,matched desired role: RA
Donald Lopez,Shannon Reyes,30,matched desired role: RA
Donald Lopez,Jeanne Clark,30,matched desired role: RA
Donald Lopez,Victoria Oliver,30,matched desired role: RA
Donald Lopez,Adrienne Miles,30,matched desired role: RA
Donald Lopez,Jennifer Harper,30,matched desired role: RA
Donald Lopez,Tony Singh,30,matched desired role: RA
Donald Lopez,Marie Wilkinson,30,matched desired role: RA
Donald Lopez,Roberto Delgado,30,matched desired role: RA
Donald Lopez,Patrick Dillon,30,matched desired role: RA
Donald Lopez,Brenda Thomas,30,matched desired role: RA
Robert Sandoval,Christopher Smith,30,matched desired role: RA
Robert Sandoval,Beth Taylor,30,matched desired role: RA
Robert Sandoval,Jessica Wood,40,shared interest in Smart Cities
Robert Sandoval,Christopher Lee DVM,30,matched desired role: RA
Robert Sandoval,Scott Foster PhD,30,matched desired role: RA
Robert Sandoval,Jeffrey Weiss,40,shared interest in Smart Cities
Robert Sandoval,Mercedes Francis,30,matched desired role: RA
Robert Sandoval,Casey Nunez,30,matched desired role: RA
Robert Sandoval,Shannon Reyes,30,matched desired role: RA
Robert Sandoval,Jeanne Clark,30,matched desired role: RA
Robert Sandoval,Victoria Oliver,30,matched desired role: RA
Robert Sandoval,Adrienne Miles,30,matched desired role: RA
Robert Sandoval,Jennifer Harper,30,matched desired role: RA
Robert Sandoval,Tony Singh,30,matched desired role: RA
Robert Sandoval,Marie Wilkinson,30,matched desired role: RA
Robert Sandoval,Roberto Delgado,30,matched desired role: RA
